Filename,DictionaryIPA,DictionaryTone,VowelLength,IPA,Coda,ReclassifiedTone,ReclassifiedVowelLength,VowelQuality,PhonemicIPA,ReclassifiedIPA,ReclassifiedCoda,Exclude,DictionaryMatch,Onset,OnsType
WZ09_1_3_1,haːn1,1,long,haːn1,nasal,1,long,a,haːn,haːn,nasal,Keep,yes,h,voiceless fricative
WZ09_8_80_2,ɣaːt8_or_ɣon4,8,long,ɣaːt8,obstruent,9,long,a,jaːt,jaːt,obstruent,Keep,no,j,sonorant
WZ09_9_176_1,ɕaːt9,9,long,ɕaːt9,obstruent,9,long,,,ɕaːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ09_2_32_1,san2,2,short,san2,nasal,1,short,a,θan,θiən,nasal,Keep,no,θ,voiceless fricative
WZ09_9_180_1,tuːt7,9,long,tuːt7,obstruent,9,long,uə,tuːət,tuːət,obstruent,Keep,yes,t,voiceless stop
WZ09_6_119_1,ta6,6,short,ta6,nocoda,6,long,a,taː,taː,nocoda,Keep,yes,t,voiceless stop
WZ09_9_176_2,ɕaːt9,9,long,ɕaːt9,obstruent,9,long,,,ɕaːt,obstruent,Skipped,NA,ɕ,voiceless fricative
WZ09_8_91_1,fak8,8,short,fak8,obstruent,9,long,o,toːk,tɤːk,obstruent,Keep,no,t,voiceless stop
WZ09_8_161_1,sak8,8,short,sak8,obstruent,5,long,oi,θoːi,θoːi,nocoda,Keep,no,θ,voiceless fricative
WZ09_6_114_1,ta3_or_ɕoiː6,6,long,ɕoiː6,nocoda,6,long,oi,ɕoːi,ɕoːi,nocoda,Keep,yes,ɕ,voiceless fricative
WZ09_6_130_1,faːn6,6,long,faːn6,nasal,6,long,a,faːn,faːn,nasal,Keep,yes,f,voiceless fricative
WZ09_8_159_1,ɕak8,8,short,ɕak8,obstruent,8,short,a,ɕak,ɕak,obstruent,Keep,yes,ɕ,voiceless fricative
WZ09_5_148_1,θaːu5_or_pat7,5,long,θaːu5,nocoda,5,long,au,θaːu,θaːu,nocoda,Keep,yes,θ,voiceless fricative
WZ09_1_9_1,ɣon1,1,short,ɣon1,nasal,1,short,o,ɣon,hwon,nasal,Keep,yes,h,voiceless fricative
WZ09_3_55_2,tan3,3,short,tan3,nasal,5,NA,ai,tai,tai,nocoda,Keep,no,t,voiceless stop
WZ09_7_145_2,tok7,7,short,tok7,obstruent,7,short,o,tok,tɔk,obstruent,Extra,yes,t,voiceless stop
WZ09_2_32_2,san2,2,short,san2,nasal,1,short,a,θan,θiən,nasal,Keep,no,θ,voiceless fricative
WZ09_3_61_2,hen3,3,short,hen3,nasal,3,short,e,heːn,hen,nasal,Keep,yes,h,voiceless fricative
WZ09_0_186_1,faːt8,0,long,faːt8,obstruent,0,long,,,faːt,obstruent,Skipped,NA,f,voiceless fricative
